"Club","Points","GF","GA","GD","Group","Europa","n_teams","Rank","Elo","Tilt","Pass"
"Man United",59,52,48,4,"ENG",2,20,7,1799.46337891,1.51315789473684,4
"Forest",58,69,61,8,"ENG",2,20,8,1802.86816406,1.52631578947368,4
"Brentford",57,57,43,14,"ENG",2,20,9,1811.27441406,1.59210526315789,4
"Chelsea",56,78,60,18,"ENG",2,20,10,1902.8013916,1.84210526315789,4
"Fulham",56,78,66,12,"ENG",2,20,11,1781.7208252,1.52631578947368,4
"Aston Villa",54,67,54,13,"ENG",2,20,12,1872.83935547,1.80263157894737,4
"Man City",51,69,66,3,"ENG",2,20,13,1959.94421387,1.71052631578947,4
"Brighton",49,59,67,-8,"ENG",2,20,14,1827.12927246,1.53947368421053,4
"West Ham",48,52,70,-18,"ENG",2,20,15,1750.13269043,1.76315789473684,4
"Tottenham",46,72,75,-3,"ENG",2,20,16,1774.00695801,1.77631578947368,4
"Everton",42,45,57,-12,"ENG",2,20,17,1793.98010254,1.19736842105263,4
"Southampton",33,38,80,-42,"ENG",2,20,18,1555.23706055,1.17403382709275,4
"Ipswich",32,38,87,-49,"ENG",2,20,19,1591.06835938,1.23916550830762,4
"Leicester",22,28,79,-51,"ENG",2,20,20,1618.56958008,1.33633152549363,4
"Fenerbahce",87,95,29,66,"TUR",1,19,1,1673.91918945,1.71052631578947,0
"Galatasaray",77,74,24,50,"TUR",1,19,2,1701.14611816,1.55263157894737,0
"Besiktas",70,66,36,30,"TUR",1,19,3,1506.78662109,1.30263157894737,0
"Konyaspor",63,61,39,22,"TUR",1,19,4,1388.09277344,1.22368421052632,0
"Kasimpasa",52,51,50,1,"TUR",1,19,5,1423.47302246,1.67105263157895,0
"Bodrum",52,55,57,-2,"TUR",1,19,6,1333.02697754,1.36874107653225,0
"Trabzonspor",51,50,53,-3,"TUR",1,19,7,1470.06970215,1.56578947368421,0
"Sivasspor",47,44,49,-5,"TUR",1,19,8,1355.29040527,1.32894736842105,0
"Hatayspor",47,40,52,-12,"TUR",1,19,9,1289.30761719,1.27631578947368,0
"Alanyaspor",44,45,49,-4,"TUR",1,19,10,1407.70080566,1.35526315789474,0
"Rizespor",44,48,59,-11,"TUR",1,19,11,1388.77099609,1.39473684210526,0
"Eyupspor",43,34,46,-12,"TUR",1,19,12,1370.41467285,1.22429655108999,0
"Samsunspor",42,43,54,-11,"TUR",1,19,13,1436.43029785,1.23684210526316,0
"Gaziantep FK",40,44,48,-4,"TUR",1,19,14,1367.83752441,1.40789473684211,0
"Bueyueksehir",40,45,64,-19,"TUR",1,19,15,1449.87182617,1.31578947368421,0
"Antalyaspor",40,40,59,-19,"TUR",1,19,16,1355.68505859,1.22368421052632,0
"Adana Demirspor",38,43,71,-28,"TUR",1,19,17,1234.671875,1.51315789473684,0
"Goeztepe",36,43,61,-18,"TUR",1,19,18,1384.90710449,1.27912744537644,0
"Kayseri",35,33,54,-21,"TUR",1,19,19,1389.22131348,1.32894736842105,0
"Slavia Praha",62,55,22,33,"CZE",1,16,1,1694.71618652,1.30874852845337,1
"Viktoria Plzen",53,54,25,29,"CZE",1,16,2,1616.74377441,1.23480495144267,1
"Sparta Praha",51,58,32,26,"CZE",1,16,3,1573.58947754,1.24930088405169,1
"Mlada Boleslav",48,51,37,14,"CZE",1,16,4,1361.43188477,1.36117399465091,1
